PROVNUM,PROVNAME,CITY,STATE,COUNTY_NAME,COUNTY_FIPS,CY_Qtr,WorkDate,MDScensus,Hrs_RNDON,Hrs_RNDON_emp,Hrs_RNDON_ctr,Hrs_RNadmin,Hrs_RNadmin_emp,Hrs_RNadmin_ctr,Hrs_RN,Hrs_RN_emp,Hrs_RN_ctr,Hrs_LPNadmin,Hrs_LPNadmin_emp,Hrs_LPNadmin_ctr,Hrs_LPN,Hrs_LPN_emp,Hrs_LPN_ctr,Hrs_CNA,Hrs_CNA_emp,Hrs_CNA_ctr,Hrs_NAtrn,Hrs_NAtrn_emp,Hrs_NAtrn_ctr,Hrs_MedAide,Hrs_MedAide_emp,Hrs_MedAide_ctr
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230401,55,0,0,0,0,0,0,36,36,0,0,0,0,22.96,8,14.96,93.5,93.5,0,0,0,0,15.25,15.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230402,54,0,0,0,0,0,0,53.5,53.5,0,0,0,0,8,8,0,89,89,0,0,0,0,15.5,15.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230403,55,7.5,7.5,0,22.25,22.25,0,40.5,40.5,0,0,0,0,25.75,16.75,9,115,115,0,0,0,0,15.25,15.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230404,56,7.5,7.5,0,22.75,22.75,0,31.75,31.75,0,0,0,0,39.82,26.25,13.57,114.75,114.75,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230405,57,7.5,7.5,0,22.75,22.75,0,39.5,39.5,0,0,0,0,31.83,23.25,8.58,91,91,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230406,57,7.5,7.5,0,21.75,21.75,0,49,49,0,0,0,0,23.58,17.5,6.08,93.25,93.25,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230407,55,7.5,7.5,0,15,15,0,58.5,58.5,0,0,0,0,25.84,9.75,16.09,118.75,118.75,0,0,0,0,14,14,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230408,54,0,0,0,0,0,0,40.75,40.75,0,0,0,0,31.65,24.75,6.9,145.5,145.5,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230409,56,0,0,0,0,0,0,27,27,0,0,0,0,32.52,24,8.52,100.5,100.5,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230410,55,7.5,7.5,0,30.5,30.5,0,40.75,40.75,0,0,0,0,9.27,2.25,7.02,120,120,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230411,52,7.5,7.5,0,21.75,21.75,0,40.66,32.25,8.41,0,0,0,23.83,16.75,7.08,126.5,126.5,0,0,0,0,16.75,16.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230412,54,7.5,7.5,0,21,21,0,55,55,0,0,0,0,27.25,27.25,0,130.75,130.75,0,0,0,0,15.25,15.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230413,58,7.5,7.5,0,15,15,0,49.25,49.25,0,0,0,0,26.75,18.75,8,113.25,113.25,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230414,58,7.5,7.5,0,15,15,0,48,48,0,0,0,0,26.04,16.75,9.29,142.5,142.5,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230415,55,0,0,0,0,0,0,39.25,39.25,0,0,0,0,23,8,15,146,146,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230416,58,0,0,0,0,0,0,56.75,56.75,0,0,0,0,15.3,8.75,6.55,115,115,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230417,56,7.5,7.5,0,22.5,22.5,0,31.5,31.5,0,0,0,0,33.07,17.25,15.82,144,144,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230418,57,7.5,7.5,0,22.75,22.75,0,36.5,36.5,0,0,0,0,49.24,27,22.24,107.25,107.25,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230419,57,7.5,7.5,0,22.5,22.5,0,52,52,0,0,0,0,24.85,17.5,7.35,124.5,124.5,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230420,55,7.5,7.5,0,16.75,16.75,0,64.12,56,8.12,0,0,0,11.95,11.5,0.45,129.5,129.5,0,0,0,0,14.25,14.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230421,53,7.5,7.5,0,15.5,15.5,0,52.75,52.75,0,0,0,0,30.87,16.5,14.37,104.25,104.25,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230422,52,0,0,0,0,0,0,36.5,36.5,0,0,0,0,31.82,24,7.82,121.25,121.25,0,0,0,0,14.5,14.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230423,50,0,0,0,0,0,0,53.25,53.25,0,0,0,0,19.22,11.5,7.72,113.25,113.25,0,0,0,0,13.75,13.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230424,49,7.5,7.5,0,28.75,28.75,0,49.5,49.5,0,0,0,0,26.17,18,8.17,82.5,82.5,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230425,47,7.5,7.5,0,30.25,30.25,0,42.25,42.25,0,0,0,0,32.3,17.25,15.05,123.75,123.75,0,0,0,0,15.25,15.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230426,50,7.5,7.5,0,37.75,37.75,0,56.75,56.75,0,0,0,0,18.75,18.75,0,132,132,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230427,50,7.5,7.5,0,22.75,22.75,0,54.25,54.25,0,0,0,0,28.52,20.25,8.27,118.5,118.5,0,0,0,0,6,6,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230428,48,7.5,7.5,0,22.75,22.75,0,37.5,36.5,1,0,0,0,24,15,9,113.75,113.75,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230429,48,0,0,0,0,0,0,53.15,41,12.15,0,0,0,15.42,8.25,7.17,134.25,134.25,0,0,0,0,14,14,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230430,49,0,0,0,0,0,0,45.25,42.25,3,0,0,0,26,17,9,117.5,117.5,0,0,0,0,21.25,21.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230501,49,7.5,7.5,0,30,30,0,30.75,30.75,0,0,0,0,37.25,21.5,15.75,115,115,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230502,47,7.5,7.5,0,30.25,30.25,0,28.75,28.75,0,0,0,0,34.37,19.75,14.62,123.75,123.75,0,0,0,0,14,14,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230503,47,7.5,7.5,0,30.75,30.75,0,31.75,31.75,0,0,0,0,32.4,16.75,15.65,87,87,0,0,0,0,13.75,13.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230504,48,7.5,7.5,0,22.75,22.75,0,31.25,31.25,0,0,0,0,23.22,7.75,15.47,102.75,102.75,0,0,0,0,13.75,13.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230505,49,7.5,7.5,0,23.25,23.25,0,47,47,0,0,0,0,15.2,8.25,6.95,67.5,67.5,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230506,49,0,0,0,0,0,0,50.5,50.5,0,0,0,0,25.5,16.75,8.75,129.25,129.25,0,0,0,0,7.5,7.5,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230507,49,0,0,0,0,0,0,35.25,35.25,0,0,0,0,16.22,8.5,7.72,98.5,98.5,0,0,0,0,14,14,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230508,51,7.5,7.5,0,29,29,0,27.75,27.75,0,0,0,0,34.1,19,15.1,100,100,0,0,0,0,8.25,8.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230509,52,7.5,7.5,0,30.5,30.5,0,37.75,37.75,0,0,0,0,26.1,18,8.1,131.75,131.75,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230510,54,7.5,7.5,0,30.5,30.5,0,55.25,55.25,0,0,0,0,26.5,18.5,8,83.25,83.25,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230511,53,7.5,7.5,0,36.25,36.25,0,53.75,53.75,0,0,0,0,21.75,17.75,4,156.5,156.5,0,0,0,0,15,15,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230512,55,7.5,7.5,0,22.5,22.5,0,39.75,39.75,0,0,0,0,30,20.5,9.5,120.25,120.25,0,0,0,0,7.75,7.75,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230513,55,0,0,0,0,0,0,41.5,41.5,0,0,0,0,34.24,17,17.24,81,81,0,0,0,0,13.25,13.25,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230514,52,0,0,0,0,0,0,45.25,45.25,0,0,0,0,16.85,8.5,8.35,68.25,68.25,0,0,0,0,14,14,0
415002,"HATTIE IDE CHAFFEE HOME","EAST PROVIDENCE",RI,Providence,007,2023Q2,20230515,51,7.5,7.5,0,30.5,30.5,0,42.75,42.75,0,0,0,0,32.65,17.75,14.9,117.25,117.25,0,0,0,0,7.25,7.25,0
